GY,TILL,FUNG,INOC,SOM,Clay,Silt,Sand,Pp_pre,Pp_1,Pp_2,Pp_3,Pp_4,SDI_pre,SDI_1,SDI_2,SDI_3,SDI_4,AWDR_pre,AWDR_1,AWDR_2,AWDR_3,AWDR_4,Tm_pre,Tm_1,Tm_2,Tm_3,Tm_4,Rad_1,Rad_2,Rad_3,Rad_4,vpd_pre,vpd_1,vpd_2,vpd_3,vpd_4,Q_1,Q_2,Q_3,Q_4
5682,Y,X1,Y,2.940044074020011,41.4,56.8,1.8,49.98,126.8,110.59,50.6,42.769999999999996,0.44163344809548133,0.6047585362002491,0.44661932689124517,0.6564215458578463,0.5025393432726856,22.072839735812156,76.68338239019158,49.39163136090281,33.21493022040703,21.49360771177276,11.689666666666668,16.06774193548387,20.5875,22.485833333333332,21.045833333333334,566.7936752332,614.8222671292,634.5231403396999,595.0785502535999,0.8570323333333333,1.2306803225806453,1.7057950000000002,1.901663,1.7350656666666666,0.7188609351848445,0.5701208527393431,0.5165672295462325,0.5319128275215091
2791,N,X1,Y,0.920074631460011,2.7,21.4,75.9,69.78,148.44,56.440000000000005,138.44,80.51,0.6046875796654895,0.5973820605284075,0.3152427807562401,0.43886933698467073,0.5402424763649873,42.19509930905786,88.67539306483681,17.792302545882194,60.757071012157816,43.49492177214513,18.3365,20.63209677419355,25.52766666666667,26.750833333333333,26.554666666666666,590.7968473733,647.798781009,562.9815069179999,519.8788368688,1.4369746666666667,1.7737935483870968,2.2572146666666666,2.5611516666666665,2.544645,0.5320017292969675,0.4436068861840094,0.3666101638146812,0.34238845530353323
4113,N,NF,N,2.920074631460011,15,65,20,122.32000000000001,122.02000000000001,71.55,92.09,80.28999999999999,0.7870445200442967,0.5956577127877374,0.6532333631764068,0.6441750923438831,0.5893414884456233,96.27128569181838,72.68215411435972,46.738847135271904,59.3220842539482,47.31822810729909,10.376666666666667,14.814516129032258,16.923166666666667,18.136333333333333,17.962833333333332,652.5338825739,590.7777785587,584.5581563461,478.3245876834,0.9092883333333333,1.1884325806451614,1.3985403333333333,1.4966023333333334,1.4889356666666667,0.9797434448265521,0.7489177060968035,0.6621234636326102,0.5495199026996527
4850,N,X1,Y,4.810074631460011,12.4,45,42.6,101.22999999999999,189.2,185.58,68.7,222.35999999999999,0.49596721826170587,0.6663868733773337,0.44731244383094176,0.5350855232210084,0.7353329033903031,50.20676150463248,126.08039644299153,83.01224332614618,36.76037544528328,163.50862439786778,15.275166666666667,23.46709677419355,23.953666666666667,22.806333333333335,21.532,604.7755399222,602.5854090626999,604.8897928376,437.3775154,1.0824983333333333,1.9592809677419354,2.1570723333333337,1.8934623333333334,1.869316,0.4478654563103425,0.4554883793927441,0.4817170619684946,0.38369062864133907
5886,N,NF,N,3.904539435791471,16,53.7,30.3,147.79,103.85,87.94,126.17,107.18,0.5586691156705472,0.5831222994430035,0.8046327184922456,0.5799361529079706,0.6675554114695079,82.56570860495017,60.557250797155916,70.75940126420808,73.17054441239866,71.54858900130186,12.0245,17.32677419354839,21.119,19.952833333333334,20.882666666666665,631.8062869331,574.04381387,585.7383901661,568.5156199457,0.8802946666666667,1.2769567741935484,1.7556373333333333,1.6759186666666668,1.7199606666666667,0.7078321134532898,0.514689238415707,0.5742119635422926,0.5164726585621296
3397,Y,NF,N,2.520074631460011,38.3,55.7,6,109.11,25.09,41.42,119.23,35,0.5940638736397935,0.5346328606107674,0.29209617089795337,0.27362834155372906,0.32013689510454374,64.81830925283786,13.413938472724155,12.09862339859323,32.62470716345112,11.20479132865903,16.309833333333334,16.775967741935485,21.2745,27.553166666666666,28.8815,601.6516980375,679.7779192749,598.5699386821,649.3056601876999,1.0840026666666667,1.1989325806451614,1.431792,2.4156166666666667,2.2578156666666667,0.7086308735855203,0.5828918858075647,0.36792344445351494,0.36917999474868346
3258,Y,X1,N,2.463952094006041,15,81,4,38,102.03,83.77000000000001,130.85,41.300000000000004,0.6400748747521784,0.640039558107606,0.6387758338715064,0.7111641903725566,0.510956284156807,24.32284524058278,65.30323611371905,53.510251603416094,93.05583431024903,21.102494535676133,8.552666666666667,16.338709677419356,20.925833333333333,21.6695,21.929,555.1316136579,599.3975523463,605.0786577271,599.0187663888,0.719408,1.2297964516129032,1.7566963333333334,1.8437323333333333,1.8607593333333334,0.6928403028248601,0.5445905329320755,0.5231096192930497,0.5074474572738391
4533,Y,X1,N,4.720074631460011,30.4,65.4,4.2,35.44,101.77,94.3,119.95,151.47,0.46832201303010584,0.7975467837394392,0.6211192712329913,0.4727922118146651,0.4552136170389193,16.59733214178695,81.16633618116272,58.57154727727107,56.71142580716908,68.95120657288511,11.486666666666666,15.396612903225806,21.303166666666666,23.134,20.861166666666666,572.3030128281,630.4559269604999,634.7564983025,531.1719619132999,0.42237766666666665,0.9894716129032258,1.682896,1.9078726666666666,1.7031953333333334,0.7961181865907305,0.555076387073062,0.49332975131997286,0.4797762436652214
5567,N,X1,Y,5.097702234673001,12.7,51.4,35.9,113.78,108.24000000000001,113.25,135.08,66.48,0.5119282146603127,0.567190954551799,0.6754624874397857,0.6789466366797934,0.40023302528064886,58.247192264050376,61.39274892068673,76.49612670255573,91.71211168270649,26.607491520657536,13.591666666666667,18.661612903225805,23.042166666666667,23.0055,19.815833333333334,667.3237424752999,587.5962778538,559.5411938456,543.8455755558999,1.029106,1.4295535483870967,1.9510593333333335,1.9514823333333333,1.5946146666666665,0.6795327096042741,0.4616023973984565,0.44139270392969543,0.530007705085292
5280,Y,X1,Y,5.107934961405891,12.8,49.2,38,122.49,61.2,29.97,169.87,67.27,0.49372171982210156,0.5101725105961521,0.4694643941528467,0.6660277822499575,0.3262032121749176,60.47597346100922,31.22255764848451,14.069847892760814,113.13813937080029,21.943690083006707,14.130333333333333,19.251774193548385,23.686,23.7855,20.869333333333334,673.1662278814,614.6004277692999,569.1845039906,571.0141592689,1.05549,1.4974274193548387,2.0484066666666667,2.075866,1.6695216666666668,0.6563034236719092,0.46621935716944507,0.4308437802476729,0.5134631088322367
